0,@AirLewis VITAMIN C AND GARLIC CRUSHING MEOW
1,Only 3 Arnica Balms left at Clinic Alternative Medicines retail space!! Don't worry I will be restocking soon :) http://t.co/ExWeR2Kvoo
0,Recent research from Holland suggests folic acid reduces the chance of baby having a congenital heart defect by... http://t.co/HMqCcpVk0J
0,I'm so burnt and this aloe isn't helping 😡
1,@kristalcraven sudafed that I'm not sure I'm comfortable taking it. I think if rather be miserable than risk it. Haha
1,The World’s First Premium Carbohydrate RTD that’s sugar free! New and Improved Karbolic RTD was… http://t.co/p9fmpJeg6m
1,My dr prescribed protein shakes to help me keep my weight up. Who the eff has to take supplements to GAIN weight?!
1,One appointment remaining for BOTOX this Monday pm. Call the salon for more details.....New Year New You?? http://t.co/ZT6Ds67mJq
0,when you're sick... puffs with Vicks is the best!!!! finding them in the store is even better! https://t.co/0qH78tDnBr
0,"Made from the inner bark of the Pau D'arco tree, this herb contains an antifungal compound called lapachol and... http://t.co/jPdYXiFQe3"
0,DIY Vicks shower melts that work! #savemoney Vicks shower melts #DIY WEight loss products here: Easy 2 pills 2x/day http://t.co/2BZVArozFB
0,"Baby im ur insulin if u need ur medicine. I'll be ur prescription, come &amp; take a dose of me. Once u get a dose of me, baby I'm ur medicine ♬"
1,"@AlYsSa_Lou4 lol that's funny, I literally just ate some tums !! But yes its the worst... I hate when I can't lay down because of it.. 😐"
0,Interesting story on the Folic Acid debate...http://t.co/LtSBB2FLJh
1,Newbie to #IUI with #Femara would love to hear some encouragement and success stories!http://t.co/4dnhK4EAY2#HelpAGirlOut #GoodKarma
0,lozenge
0,Lozenge. It's my favorite word.
1,My dad just admitted to using rogain xD
0,"My iPhone changed ""Petsmart"" to ""Percocet"".... Hmmmm"
1,@sambamthnkyamam was just discussing preventative hair loss by rogaine use in your 20s. My opinion? Au natural!
1,RT @LackOfShame: LollipopsPopsiclesFingersBreath mintsIce CubesJolly RanchersThroat LozengeStraws- Things my wife WILL suck on.
0,Legs bums and tums class killed me😥
